iter	Logloss	Accuracy
0	0.6609786629	0.8118686869
1	0.6277283992	0.8648989899
2	0.6038725378	0.8762626263
3	0.5788238199	0.8901515152
4	0.5574173459	0.8964646465
5	0.5422822025	0.8888888889
6	0.5251652791	0.9116161616
7	0.5087928802	0.9053030303
8	0.4928219532	0.9141414141
9	0.4776869978	0.9217171717
10	0.4628195966	0.9217171717
11	0.450174353	0.9242424242
12	0.4375309883	0.9267676768
13	0.4232679362	0.9292929293
14	0.4131417161	0.9267676768
15	0.4041021965	0.9242424242
16	0.3927112803	0.9419191919
17	0.3805723978	0.9406565657
18	0.3714111744	0.9444444444
19	0.363657132	0.946969697
20	0.3538323518	0.952020202
21	0.3461288475	0.9570707071
22	0.339767364	0.9583333333
23	0.3314871247	0.9558080808
24	0.3244139041	0.9570707071
25	0.3155221146	0.9608585859
26	0.3091439968	0.9633838384
27	0.3016817679	0.9633838384
28	0.2936748155	0.9646464646
29	0.2896920038	0.9646464646
30	0.2853910018	0.9659090909
31	0.2783600488	0.9747474747
32	0.2738315001	0.9747474747
33	0.2685581805	0.976010101
34	0.2656854325	0.976010101
35	0.2613988362	0.9747474747
36	0.255971317	0.9785353535
37	0.2514108142	0.9785353535
38	0.2470756635	0.9810606061
39	0.2422759038	0.9772727273
40	0.2383607128	0.9810606061
41	0.2331656877	0.9797979798
42	0.2283292665	0.9823232323
43	0.2257190092	0.9823232323
44	0.2214801486	0.9835858586
45	0.2183587703	0.9835858586
46	0.2150112782	0.9835858586
47	0.2107636033	0.9861111111
48	0.208670091	0.9861111111
49	0.2045553402	0.9898989899
50	0.2026283365	0.9886363636
51	0.1998367212	0.9911616162
52	0.1959310111	0.9898989899
53	0.1928742413	0.9898989899
54	0.1904661942	0.9898989899
55	0.1869900314	0.9898989899
56	0.1844013181	0.9898989899
57	0.1822817835	0.9924242424
58	0.1786929109	0.9911616162
59	0.1772657882	0.9911616162
60	0.1734943269	0.9924242424
61	0.1709430669	0.9949494949
62	0.1690981559	0.9949494949
63	0.166853023	0.9949494949
64	0.1638955352	0.9949494949
65	0.1614248065	0.9962121212
66	0.1584782731	0.9962121212
67	0.1567570529	0.9962121212
68	0.1543427661	0.9962121212
69	0.1522850939	0.9962121212
70	0.1506814675	0.9962121212
71	0.1487311075	0.9974747475
72	0.1470002779	0.9974747475
73	0.144391407	0.9974747475
74	0.1421113178	0.9974747475
75	0.1398609545	0.9974747475
76	0.1378703747	0.9974747475
77	0.1360629676	0.9974747475
78	0.1340941129	0.9974747475
79	0.1324908586	0.9974747475
80	0.1303185078	0.9987373737
81	0.1282886337	0.9987373737
82	0.1262493311	0.9987373737
83	0.1244821982	0.9987373737
84	0.1232360733	0.9987373737
85	0.1216401174	0.9987373737
86	0.1206700499	0.9987373737
87	0.1190595732	0.9987373737
88	0.1177098718	0.9987373737
89	0.1165252189	0.9987373737
90	0.1154275898	0.9987373737
91	0.1142875017	0.9987373737
92	0.113001873	0.9987373737
93	0.1120516737	0.9987373737
94	0.1108097673	0.9987373737
95	0.1089532736	0.9987373737
96	0.1074341752	0.9987373737
97	0.106110571	0.9987373737
98	0.1051352608	0.9987373737
99	0.104196812	0.9987373737
100	0.1032298544	0.9987373737
101	0.1017741068	0.9987373737
102	0.1005586941	0.9987373737
103	0.09944811464	0.9987373737
104	0.09863834858	0.9987373737
105	0.09757580845	0.9987373737
106	0.09612820459	0.9987373737
107	0.09491977661	0.9987373737
108	0.09401236243	0.9987373737
109	0.09297694011	0.9987373737
110	0.09182837749	0.9987373737
111	0.09073269307	0.9987373737
112	0.08986844162	0.9987373737
113	0.08891102321	0.9987373737
114	0.08769510109	0.9987373737
115	0.08641242476	0.9987373737
116	0.08516636319	0.9987373737
117	0.08388842728	0.9987373737
118	0.08304071117	0.9987373737
119	0.08205158394	0.9987373737
120	0.08104488068	0.9987373737
121	0.07981620995	0.9987373737
122	0.07905807276	0.9987373737
123	0.07837855356	0.9987373737
124	0.07759582639	0.9987373737
125	0.07659050321	0.9987373737
126	0.07565049221	0.9987373737
127	0.07480559471	0.9987373737
128	0.07414532652	0.9987373737
129	0.07353798601	0.9987373737
130	0.07279348415	0.9987373737
131	0.07187540863	0.9987373737
132	0.07105510008	0.9987373737
133	0.07053876829	0.9987373737
134	0.06954229487	0.9987373737
135	0.06867125031	0.9987373737
136	0.06795711079	0.9987373737
137	0.0674049831	0.9987373737
138	0.06652168035	0.9987373737
139	0.06593817846	0.9987373737
140	0.06529005394	1
141	0.06444134089	1
142	0.06340314232	1
143	0.06264730616	1
144	0.0619009708	1
145	0.06150055883	1
146	0.06101681463	1
147	0.06037331882	1
148	0.05982077494	1
149	0.05920702277	1
150	0.05828902718	1
151	0.05781166014	1
152	0.05711683793	1
153	0.05615877018	1
154	0.0553785888	1
155	0.05471676684	1
156	0.05414012915	1
157	0.05329026317	1
158	0.05273456962	1
159	0.05226148091	1
160	0.05160267597	1
